TransactionID,Date,Time,CustomerID,Age,Gender,Location,StoreID,OnlineOrderFlag,ProductID,ProductName,Category,Quantity,UnitPrice,TotalPrice,PaymentType,PromotionApplied,DiscountAmount,GiftWrap,ShippingMethod,DeliveryTime,Weather,Event,CustomerSatisfaction,ReturnFlag,Year,Month,Day,DayName,CalculateRevenue,AgeGroup
38,2022-11-17,2:29:20,168,54,Other,City_9,Online,True,924,Electronics_Product,Electronics,5,74.09690773,370.4845387,Credit Card,False,0.0,True,Standard,3.0,Sunny,Christmas Market,5,True,2022,11,17,Thursday,370.48453865,Senior
39,2022-12-18,15:59:43,184,39,Female,City_13,Online,True,513,Food_Product,Food,5,31.61629973,158.0814987,Debit Card,True,15.80814987,False,Express,5.0,Sunny,Black Friday,4,False,2022,12,18,Sunday,158.08149865000001,Mid-Age
40,2019-11-17,21:27:08,288,45,Other,City_4,20.0,False,146,Clothing_Product,Clothing,2,18.43094789,36.86189577,Debit Card,False,0.0,True,In-Store,0.0,Sunny,No Events,3,True,2019,11,17,Sunday,36.86189578,Mid-Age
41,2021-12-21,22:09:55,359,62,Other,City_6,Online,True,122,Food_Product,Food,2,93.32665645,186.6533129,Cash,True,0.0,False,Express,5.0,Rainy,No Events,2,True,2021,12,21,Tuesday,186.6533129,Senior
42,2021-12-22,10:32:38,204,59,Male,City_7,Online,True,68,Food_Product,Food,4,57.36855054,229.4742022,Debit Card,True,0.0,False,Overnight,1.0,Sunny,No Events,2,False,2021,12,22,Wednesday,229.47420216,Senior
43,2023-11-16,23:47:12,15,42,Female,City_7,Online,True,171,Electronics_Product,Electronics,3,77.62282233,232.868467,Cash,True,0.0,True,Overnight,4.0,Sunny,No Events,3,False,2023,11,16,Thursday,232.86846699,Mid-Age
44,2020-11-04,23:17:32,292,34,Other,City_9,Online,True,759,Decorations_Product,Decorations,4,87.60777349,350.431094,Debit Card,False,0.0,False,Standard,4.0,Sunny,No Events,1,True,2020,11,4,Wednesday,350.43109396,Adult
45,2019-11-12,10:56:53,292,42,Female,City_6,Online,True,793,Clothing_Product,Clothing,3,32.9962309,98.98869269,Online Payment,False,9.898869269,True,Express,5.0,Rainy,Black Friday,3,True,2019,11,12,Tuesday,98.9886927,Mid-Age
46,2019-12-24,7:05:00,13,23,Other,City_5,Online,True,968,Electronics_Product,Electronics,5,85.11299226,425.5649613,Credit Card,False,0.0,True,Express,1.0,Rainy,No Events,3,False,2019,12,24,Tuesday,425.5649613,Youth
47,2020-11-03,15:15:54,317,69,Female,City_2,Online,True,348,Clothing_Product,Clothing,3,87.58882257,262.7664677,Cash,False,0.0,False,Standard,1.0,Rainy,Christmas Market,5,False,2020,11,3,Tuesday,262.76646771000003,Senior
48,2022-11-22,15:39:48,448,33,Male,City_5,Online,True,722,Electronics_Product,Electronics,2,67.92499783,135.8499957,Online Payment,True,0.0,True,Overnight,4.0,Snowy,Christmas Market,4,True,2022,11,22,Tuesday,135.84999566,Adult
49,2019-11-30,9:16:06,333,57,Other,City_6,91.0,False,525,Electronics_Product,Electronics,4,99.89468474,399.5787389,Cash,True,0.0,False,In-Store,0.0,Snowy,No Events,5,False,2019,11,30,Saturday,399.57873896,Senior
50,2019-12-15,13:06:29,403,28,Female,City_7,Online,True,2,Clothing_Product,Clothing,1,27.79030372,27.79030372,Debit Card,True,0.0,True,Express,3.0,Rainy,No Events,2,False,2019,12,15,Sunday,27.79030372,Adult
51,2018-11-22,19:54:29,144,68,Female,City_1,6.0,False,576,Toys_Product,Toys,2,91.28600953,182.5720191,Debit Card,False,18.25720191,False,In-Store,0.0,Sunny,Black Friday,2,True,2018,11,22,Thursday,182.57201906,Senior
52,2023-12-16,3:31:45,166,37,Male,City_2,Online,True,898,Clothing_Product,Clothing,1,89.65107189,89.65107189,Debit Card,True,0.0,True,Express,5.0,Rainy,Christmas Market,4,True,2023,12,16,Saturday,89.65107189,Mid-Age
53,2022-12-27,5:37:17,50,57,Other,City_1,Online,True,559,Food_Product,Food,1,43.66667685,43.66667685,Credit Card,False,0.0,True,Express,1.0,Rainy,Christmas Market,1,False,2022,12,27,Tuesday,43.66667685,Senior
54,2020-12-26,14:26:59,419,22,Other,City_2,Online,True,704,Electronics_Product,Electronics,2,92.30535408,184.6107082,Debit Card,True,18.46107082,False,Standard,1.0,Snowy,Black Friday,2,True,2020,12,26,Saturday,184.61070816,Youth
55,2022-11-04,2:55:40,455,66,Other,City_18,Online,True,399,Decorations_Product,Decorations,5,31.4878916,157.439458,Cash,False,0.0,False,Overnight,1.0,Snowy,Christmas Market,4,False,2022,11,4,Friday,157.439458,Senior
56,2021-12-15,16:56:39,64,36,Other,City_18,34.0,False,912,Toys_Product,Toys,3,45.080534,135.241602,Debit Card,False,13.5241602,True,In-Store,0.0,Snowy,Black Friday,4,True,2021,12,15,Wednesday,135.241602,Mid-Age
57,2019-11-22,17:25:03,130,57,Male,City_6,Online,True,95,Decorations_Product,Decorations,2,24.43791828,48.87583656,Credit Card,True,0.0,False,Express,1.0,Sunny,No Events,1,True,2019,11,22,Friday,48.87583656,Senior
58,2023-12-24,4:41:47,167,47,Other,City_10,Online,True,51,Decorations_Product,Decorations,1,93.89029546,93.89029546,Online Payment,False,0.0,False,Overnight,1.0,Snowy,No Events,4,False,2023,12,24,Sunday,93.89029546,Mid-Age
59,2021-12-30,3:58:38,253,34,Other,City_15,77.0,False,492,Electronics_Product,Electronics,2,65.86888123,131.7377625,Cash,True,0.0,True,In-Store,0.0,Snowy,No Events,5,False,2021,12,30,Thursday,131.73776246,Adult
60,2020-12-13,14:00:12,283,31,Other,City_20,7.0,False,433,Electronics_Product,Electronics,1,19.96229443,19.96229443,Debit Card,True,0.0,False,In-Store,0.0,Sunny,No Events,4,False,2020,12,13,Sunday,19.96229443,Adult
61,2018-11-26,4:35:13,289,18,Male,City_6,22.0,False,420,Electronics_Product,Electronics,1,24.24178761,24.24178761,Cash,False,2.424178761,True,In-Store,0.0,Snowy,Black Friday,1,True,2018,11,26,Monday,24.24178761,Teen
62,2023-11-12,4:33:59,292,46,Female,City_13,Online,True,641,Decorations_Product,Decorations,2,52.29007831,104.5801566,Debit Card,True,0.0,True,Overnight,2.0,Sunny,No Events,5,False,2023,11,12,Sunday,104.58015662,Mid-Age
63,2018-11-02,21:49:14,191,33,Female,City_10,Online,True,648,Clothing_Product,Clothing,5,56.26043398,281.3021699,Debit Card,False,0.0,False,Overnight,5.0,Snowy,Christmas Market,3,True,2018,11,2,Friday,281.3021699,Adult
64,2020-12-30,14:51:11,401,55,Female,City_12,72.0,False,480,Electronics_Product,Electronics,2,80.86359592,161.7271918,Credit Card,True,16.17271918,True,In-Store,0.0,Sunny,Black Friday,4,False,2020,12,30,Wednesday,161.72719184,Senior
65,2022-11-25,14:10:24,172,69,Female,City_9,Online,True,801,Decorations_Product,Decorations,3,10.86556328,32.59668985,Debit Card,True,3.259668985,True,Standard,3.0,Snowy,Black Friday,1,False,2022,11,25,Friday,32.596689839999996,Senior
66,2021-11-07,21:35:09,380,23,Other,City_12,43.0,False,454,Toys_Product,Toys,5,96.33759319,481.687966,Debit Card,True,0.0,True,In-Store,0.0,Sunny,No Events,5,True,2021,11,7,Sunday,481.68796595000003,Youth
67,2019-12-26,16:35:32,273,57,Other,City_2,29.0,False,313,Decorations_Product,Decorations,2,29.16293855,58.3258771,Cash,False,0.0,False,In-Store,0.0,Snowy,No Events,3,True,2019,12,26,Thursday,58.3258771,Senior
68,2020-12-24,13:07:28,497,66,Other,City_2,Online,True,670,Clothing_Product,Clothing,4,68.75242368,275.0096947,Debit Card,False,27.50096947,False,Express,1.0,Rainy,Black Friday,5,True,2020,12,24,Thursday,275.00969472,Senior
69,2020-12-26,7:11:08,57,44,Female,City_13,19.0,False,280,Decorations_Product,Decorations,1,83.70982419,83.70982419,Credit Card,True,0.0,True,In-Store,0.0,Rainy,Christmas Market,1,True,2020,12,26,Saturday,83.70982419,Mid-Age
70,2020-12-09,2:36:57,337,48,Other,City_2,35.0,False,492,Electronics_Product,Electronics,4,34.53250357,138.1300143,Online Payment,True,0.0,False,In-Store,0.0,Snowy,No Events,4,True,2020,12,9,Wednesday,138.13001428,Mid-Age
71,2021-12-22,14:00:15,43,49,Male,City_11,Online,True,479,Toys_Product,Toys,4,45.03339629,180.1335852,Cash,False,0.0,True,Overnight,5.0,Sunny,No Events,5,True,2021,12,22,Wednesday,180.13358516,Mid-Age
72,2023-12-16,6:09:54,137,62,Male,City_16,Online,True,261,Toys_Product,Toys,1,12.65823407,12.65823407,Online Payment,False,1.265823407,True,Standard,3.0,Rainy,Black Friday,2,False,2023,12,16,Saturday,12.65823407,Senior
73,2020-11-06,21:51:54,13,35,Other,City_20,Online,True,95,Clothing_Product,Clothing,3,75.31099581,225.9329874,Debit Card,True,0.0,False,Overnight,4.0,Rainy,Christmas Market,3,False,2020,11,6,Friday,225.93298742999997,Adult
74,2018-11-16,23:00:26,379,54,Female,City_15,Online,True,535,Toys_Product,Toys,1,98.40516391,98.40516391,Cash,True,0.0,True,Overnight,4.0,Sunny,Christmas Market,4,False,2018,11,16,Friday,98.40516391,Senior
75,2019-12-18,7:40:51,370,39,Male,City_7,3.0,False,947,Electronics_Product,Electronics,5,10.49416744,52.47083721,Cash,False,0.0,True,In-Store,0.0,Rainy,No Events,3,False,2019,12,18,Wednesday,52.4708372,Mid-Age
76,2018-12-08,14:51:39,246,25,Other,City_6,Online,True,21,Food_Product,Food,3,66.63749009,199.9124703,Credit Card,False,19.99124703,True,Express,2.0,Snowy,Black Friday,2,True,2018,12,8,Saturday,199.91247027,Youth
77,2021-12-12,18:11:23,20,53,Male,City_3,Online,True,368,Clothing_Product,Clothing,2,58.06705248,116.134105,Credit Card,False,11.6134105,True,Express,5.0,Snowy,Black Friday,4,False,2021,12,12,Sunday,116.13410496,Senior
78,2022-12-03,11:57:27,309,53,Male,City_14,36.0,False,948,Decorations_Product,Decorations,2,67.75525431,135.5105086,Cash,True,0.0,True,In-Store,0.0,Snowy,No Events,4,True,2022,12,3,Saturday,135.51050862,Senior
79,2020-12-24,6:13:16,176,30,Female,City_15,36.0,False,280,Clothing_Product,Clothing,5,73.71695045,368.5847522,Cash,True,36.85847522,False,In-Store,0.0,Sunny,Black Friday,3,False,2020,12,24,Thursday,368.58475225,Adult
80,2021-11-17,22:45:30,457,26,Female,City_10,Online,True,704,Electronics_Product,Electronics,5,36.96888543,184.8444271,Online Payment,False,0.0,True,Express,3.0,Sunny,No Events,5,False,2021,11,17,Wednesday,184.84442715,Adult
81,2022-12-11,9:24:45,395,66,Male,City_1,87.0,False,162,Clothing_Product,Clothing,3,79.68374049,239.0512215,Credit Card,False,23.90512215,True,In-Store,0.0,Rainy,Black Friday,2,True,2022,12,11,Sunday,239.05122147000003,Senior
82,2018-11-27,13:19:34,141,19,Male,City_19,98.0,False,403,Food_Product,Food,1,63.44909304,63.44909304,Debit Card,True,6.344909304,True,In-Store,0.0,Sunny,Black Friday,1,False,2018,11,27,Tuesday,63.44909304,Youth
83,2022-12-25,10:32:35,424,40,Other,City_7,Online,True,514,Electronics_Product,Electronics,3,10.90445886,32.71337658,Cash,False,3.271337658,True,Express,2.0,Rainy,Black Friday,3,False,2022,12,25,Sunday,32.71337658,Mid-Age
84,2022-12-14,13:03:36,285,57,Male,City_11,Online,True,42,Clothing_Product,Clothing,1,18.37414743,18.37414743,Online Payment,True,1.837414743,True,Overnight,4.0,Sunny,Black Friday,4,False,2022,12,14,Wednesday,18.37414743,Senior
85,2018-11-04,22:29:10,88,51,Male,City_1,Online,True,702,Electronics_Product,Electronics,2,69.03197538,138.0639508,Credit Card,True,0.0,False,Overnight,2.0,Snowy,Christmas Market,2,False,2018,11,4,Sunday,138.06395076,Senior
86,2020-12-08,15:16:24,88,39,Male,City_18,34.0,False,154,Toys_Product,Toys,4,59.31072414,237.2428966,Online Payment,False,0.0,False,In-Store,0.0,Rainy,Christmas Market,4,False,2020,12,8,Tuesday,237.24289656,Mid-Age
87,2018-12-09,7:29:05,266,19,Female,City_10,28.0,False,877,Electronics_Product,Electronics,3,52.21764115,156.6529234,Credit Card,False,15.66529234,True,In-Store,0.0,Snowy,Black Friday,2,True,2018,12,9,Sunday,156.65292345,Youth
88,2019-11-21,11:41:50,271,29,Other,City_11,53.0,False,572,Clothing_Product,Clothing,2,13.13791576,26.27583152,Debit Card,False,0.0,True,In-Store,0.0,Snowy,Christmas Market,1,False,2019,11,21,Thursday,26.27583152,Adult
89,2023-11-26,8:29:29,197,32,Female,City_6,Online,True,895,Electronics_Product,Electronics,4,85.0671237,340.2684948,Cash,True,34.02684948,True,Express,2.0,Rainy,Black Friday,4,False,2023,11,26,Sunday,340.2684948,Adult
90,2023-11-30,19:59:52,155,49,Other,City_17,51.0,False,509,Electronics_Product,Electronics,3,85.37423841,256.1227152,Credit Card,True,25.61227152,True,In-Store,0.0,Sunny,Black Friday,5,False,2023,11,30,Thursday,256.12271523000004,Mid-Age
91,2018-11-18,7:08:11,483,70,Other,City_15,71.0,False,210,Electronics_Product,Electronics,2,75.4986668,150.9973336,Cash,False,15.09973336,True,In-Store,0.0,Sunny,Black Friday,3,False,2018,11,18,Sunday,150.9973336,Senior
92,2022-11-08,4:44:30,454,62,Other,City_20,Online,True,494,Toys_Product,Toys,4,39.94097245,159.7638898,Online Payment,True,0.0,False,Standard,3.0,Snowy,No Events,4,True,2022,11,8,Tuesday,159.7638898,Senior
93,2023-11-07,6:45:18,53,32,Other,City_12,Online,True,914,Decorations_Product,Decorations,2,93.49003467,186.9800693,Credit Card,False,18.69800693,True,Standard,2.0,Sunny,Black Friday,3,False,2023,11,7,Tuesday,186.98006934,Adult
94,2020-11-11,17:13:30,113,33,Male,City_9,3.0,False,364,Electronics_Product,Electronics,1,68.45961504,68.45961504,Online Payment,True,0.0,False,In-Store,0.0,Snowy,No Events,5,True,2020,11,11,Wednesday,68.45961504,Adult
95,2022-12-17,17:36:27,411,40,Female,City_16,48.0,False,615,Food_Product,Food,1,64.58862125,64.58862125,Cash,False,6.458862125,False,In-Store,0.0,Sunny,Black Friday,4,False,2022,12,17,Saturday,64.58862125,Mid-Age
96,2018-11-25,22:34:43,464,51,Female,City_5,8.0,False,488,Electronics_Product,Electronics,5,10.54388751,52.71943756,Cash,False,5.271943756,True,In-Store,0.0,Snowy,Black Friday,2,False,2018,11,25,Sunday,52.719437549999995,Senior
97,2019-12-08,19:34:18,475,23,Female,City_19,97.0,False,453,Clothing_Product,Clothing,5,67.63835772,338.1917886,Cash,True,0.0,True,In-Store,0.0,Rainy,Christmas Market,2,False,2019,12,8,Sunday,338.1917886,Youth
98,2022-12-18,11:37:18,176,69,Other,City_18,Online,True,792,Clothing_Product,Clothing,5,31.49499298,157.4749649,Credit Card,True,0.0,False,Standard,2.0,Snowy,Christmas Market,2,False,2022,12,18,Sunday,157.4749649,Senior
99,2022-11-04,22:23:41,9,69,Male,City_20,Online,True,936,Electronics_Product,Electronics,2,23.8755016,47.7510032,Cash,True,0.0,True,Overnight,4.0,Sunny,Christmas Market,5,True,2022,11,4,Friday,47.7510032,Senior
100,2022-11-03,3:58:24,120,19,Other,City_8,70.0,False,13,Food_Product,Food,4,20.04152523,80.16610091,Debit Card,False,0.0,True,In-Store,0.0,Snowy,Christmas Market,2,False,2022,11,3,Thursday,80.16610092,Youth
101,2023-12-03,22:30:28,420,21,Male,City_6,Online,True,374,Decorations_Product,Decorations,1,82.22127485,82.22127485,Credit Card,False,8.222127485,False,Standard,3.0,Rainy,Black Friday,4,False,2023,12,3,Sunday,82.22127485,Youth
102,2018-12-17,14:40:57,93,43,Other,City_18,30.0,False,209,Decorations_Product,Decorations,5,24.84182888,124.2091444,Online Payment,False,0.0,False,In-Store,0.0,Sunny,No Events,1,False,2018,12,17,Monday,124.20914440000001,Mid-Age
103,2021-12-28,12:54:24,266,21,Other,City_5,Online,True,776,Decorations_Product,Decorations,1,93.32794426,93.32794426,Cash,False,0.0,True,Standard,4.0,Sunny,Christmas Market,2,False,2021,12,28,Tuesday,93.32794426,Youth
104,2018-12-06,14:00:32,312,60,Other,City_4,63.0,False,379,Decorations_Product,Decorations,1,48.94546053,48.94546053,Cash,True,0.0,False,In-Store,0.0,Rainy,Christmas Market,2,False,2018,12,6,Thursday,48.94546053,Senior
105,2018-11-09,7:03:58,285,22,Female,City_11,100.0,False,752,Decorations_Product,Decorations,5,60.92595975,304.6297987,Online Payment,True,0.0,True,In-Store,0.0,Rainy,Christmas Market,2,False,2018,11,9,Friday,304.62979874999996,Youth
106,2018-12-30,20:54:50,3,64,Female,City_18,3.0,False,530,Decorations_Product,Decorations,1,58.36473136,58.36473136,Debit Card,False,5.836473136,False,In-Store,0.0,Sunny,Black Friday,2,True,2018,12,30,Sunday,58.36473136,Senior
107,2020-12-31,10:26:56,358,30,Female,City_1,28.0,False,365,Electronics_Product,Electronics,2,26.57491349,53.14982698,Online Payment,True,5.314982698,False,In-Store,0.0,Rainy,Black Friday,1,False,2020,12,31,Thursday,53.14982698,Adult
108,2020-12-25,10:41:20,164,26,Other,City_9,64.0,False,485,Clothing_Product,Clothing,3,44.55040027,133.6512008,Cash,False,13.36512008,False,In-Store,0.0,Sunny,Black Friday,5,False,2020,12,25,Friday,133.65120080999998,Adult
109,2019-11-02,16:30:41,161,41,Female,City_9,81.0,False,605,Food_Product,Food,2,52.42564792,104.8512958,Debit Card,True,0.0,True,In-Store,0.0,Sunny,Christmas Market,3,True,2019,11,2,Saturday,104.85129584,Mid-Age
110,2018-11-17,6:04:34,417,26,Male,City_18,Online,True,176,Electronics_Product,Electronics,3,28.07287674,84.21863021,Debit Card,False,8.421863021,False,Standard,4.0,Rainy,Black Friday,5,False,2018,11,17,Saturday,84.21863022000001,Adult
111,2018-12-20,15:18:23,471,63,Other,City_17,99.0,False,58,Toys_Product,Toys,1,90.03445467,90.03445467,Credit Card,True,0.0,True,In-Store,0.0,Snowy,No Events,2,True,2018,12,20,Thursday,90.03445467,Senior
112,2018-11-27,12:33:03,401,36,Other,City_2,Online,True,73,Clothing_Product,Clothing,1,93.28315006,93.28315006,Debit Card,False,9.328315006,False,Standard,2.0,Sunny,Black Friday,2,False,2018,11,27,Tuesday,93.28315006,Mid-Age
113,2022-11-20,23:58:09,305,47,Female,City_13,Online,True,434,Decorations_Product,Decorations,2,95.04972805,190.0994561,Online Payment,True,0.0,False,Overnight,1.0,Snowy,No Events,4,False,2022,11,20,Sunday,190.0994561,Mid-Age
